구분, 종별, 한글제명, 원제명, 상영시간, 관람등급, 신청사, 신청사대표, 등급분류일자, 등급분류(추천)번호, 제작국(신청사), 주제, 선정성, 폭력성, 대사, 공포, 약물, 모방위험
국내영화, 애니메이션, 쏠라원투쓰리, 쏠라원투쓰리, 75분 null초, 전체관람가, 서울동화프로덕션, 양동욱, 2010-04-30, 2010-F177, 한국(서울동화프로덕션), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 내깡패같은애인, 내깡패같은애인, 105분 null초, 15세이상관람가, 제이케이필름프로젝트유한회사, 윤제균, 2010-04-30, 2010-F176, 한국(제이케이필름프로젝트유한회사), 15세이상관람가, 12세이상관람가, 15세이상관람가, 15세이상관람가, 12세이상관람가, 12세이상관람가, 15세이상관람가
국내영화, 다큐멘터리, 시티오브크레인, 시티오브크레인, 95분 null초, 12세이상관람가, (주)디앤디미디어, 오동진, 2010-04-29, 2010-F175, 한국((주)디앤디미디어), 12세이상관람가, 전체관람가, 전체관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 대한민국1%, 대한민국1%, 105분 null초, 12세이상관람가, (주)기억속의매미, 강문석, 2010-04-24, 2010-F164, 한국((주)기억속의매미), 12세이상관람가, 12세이상관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 뭘또그렇게까지, 뭘또그렇게까지, 78분 null초, 12세이상관람가, (주)디앤디미디어, 오동진, 2010-04-23, 2010-F162, 한국((주)디앤디미디어), 12세이상관람가, 12세이상관람가, 전체관람가, 12세이상관람가, 전체관람가, 12세이상관람가, 전체관람가
국내영화, 극영화, 꿈은이루어진다, 꿈은이루어진다, 113분 null초, 15세이상관람가, (주)드림슈거픽쳐스, 김현택, 2010-04-22, 2010-F160, 한국((주)드림슈거픽쳐스), 15세이상관람가, 전체관람가, 15세이상관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 하녀, 하녀, 106분 null초, 청소년관람불가, (주)미로비젼, 채희승, 2010-04-21, 2010-F159, 한국((주)미로비젼), 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 15세이상관람가, 15세이상관람가, 15세이상관람가
국내영화, 극영화, 시, 시, 139분 null초, 15세이상관람가, 파인하우스필름(주), 이준동, 2010-04-20, 2010-F156, 한국(파인하우스필름(주)), 15세이상관람가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 전체관람가, 전체관람가, 15세이상관람가
국내영화, 극영화, 블러디쉐이크, BLOODY SHAKE, 106분 null초, 청소년관람불가, (주)팜코리아미디어, 김지용, 2010-04-19, 2010-F154, 한국((주)팜코리아미디어), 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 15세이상관람가, 청소년관람불가, 청소년관람불가
국내영화, 극영화, 경, 경, 94분 null초, 15세이상관람가, (주)이노디스, 권영민, 2010-04-17, 2010-F152, 한국((주)이노디스), 15세이상관람가, 12세이상관람가, 전체관람가, 15세이상관람가, 전체관람가, 12세이상관람가, 전체관람가
국내영화, 극영화, 서울, 서울, 105분 null초, 12세이상관람가, (주)스폰지이엔티, 조은운, 2010-04-16, 2010-F151, 한국((주)스폰지이엔티), 12세이상관람가, 전체관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 1ST 지드래곤 콘서트, 1ST 지드래곤 콘서트, 101분 null초, 12세이상관람가, (주)와이지엔터테인먼트, 양민석, 2010-04-10, 2010-F140, 한국((주)와이지엔터테인먼트), 12세이상관람가, 12세이상관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 전체관람가, 12세이상관람가
국내영화, 극영화, 섹스볼란티어, 섹스볼란티어, 123분 null초, 15세이상관람가, 아침해놀이, 조경덕, 2010-04-10, 2010-F139, 한국(아침해놀이), 15세이상관람가, 15세이상관람가, 전체관람가, 15세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 요술, 요술, 95분 null초, 15세이상관람가, (주)와이지엔터테인먼트, 양민석, 2010-04-09, 2010-F137, 한국((주)와이지엔터테인먼트), 15세이상관람가, 12세이상관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 12세이상관람가, 12세이상관람가
국내영화, 극영화, 나쁜놈이더잘잔다, 나쁜놈이더잘잔다, 85분 null초, 청소년관람불가, (주)키노아이디엠씨, 이은경, 2010-04-05, 2010-F129, 한국((주)키노아이디엠씨), 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가
국내영화, 다큐멘터리, 반드시크게들을것, 반드시크게들을것, 95분 null초, 15세이상관람가, (주)인디스토리, 곽용수, 2010-04-03, 2010-F126, 한국((주)인디스토리), 15세이상관람가, 전체관람가, 전체관람가, 15세이상관람가, 전체관람가, 12세이상관람가, 15세이상관람가
국내영화, 극영화, 구르믈버서난달처럼, 구르믈버서난달처럼, 111분 null초, 15세이상관람가, (주)영화사아침, 이정세, 2010-04-02, 2010-F124, 한국((주)영화사아침), 15세이상관람가, 12세이상관람가, 15세이상관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 전체관람가
국내영화, 극영화, 어이그 저 귓것, 어이그 저 귓것, 90분 null초, 전체관람가, (주)제주넷, 김영익, 2010-04-01, 2010-F122, 한국((주)제주넷), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
